da_id,population_2016,population_0_to_14,percent_children
35061291,515,65,0.1262
35120308,456,70,0.1535
35203991,1021,40,0.0392
35060953,702,130,0.1852
35110075,675,115,0.1704
35020156,445,95,0.2135
35160194,710,90,0.1268
35240297,405,60,0.1481
35211796,913,230,0.2519
35204520,678,85,0.1254
35201481,401,60,0.1496
35190475,765,85,0.1111
35140205,472,80,0.1695
35060112,1518,235,0.1548
35061264,1185,195,0.1646
35190657,663,120,0.181
35210035,235,35,0.1489
35211620,628,105,0.1672
35260077,512,85,0.166
35240242,609,90,0.1478
35300198,502,75,0.1494
35300223,1031,215,0.2085
35300678,447,75,0.1678
35290248,415,65,0.1566
35201515,611,110,0.18
35200831,590,65,0.1102
35061342,0,NULL,NULL
35120295,797,90,0.1129
35200682,434,105,0.2419
35203973,1037,60,0.0579
35130073,497,50,0.1006
35370360,1478,365,0.247
35260211,510,70,0.1373
35190950,580,110,0.1897
35300487,548,75,0.1369
35570073,533,80,0.1501
35250324,948,340,0.3586
35210666,536,70,0.1306
35300962,654,135,0.2064
35390956,464,60,0.1293
35210362,479,80,0.167
35580353,518,60,0.1158
35570061,500,70,0.14
35520106,435,70,0.1609
35180867,449,65,0.1448
35060180,352,35,0.0994
35190045,1517,230,0.1516
35061329,509,105,0.2063
35200374,606,70,0.1155
35181104,332,55,0.1657
35190237,232,20,0.0862
35190094,708,95,0.1342
35181232,757,205,0.2708
35180235,529,85,0.1607
35310159,428,65,0.1519
35130050,488,65,0.1332
35210602,960,135,0.1406
35250303,510,40,0.0784
35430984,516,85,0.1647
35250310,393,55,0.1399
35230316,681,120,0.1762
35190053,457,65,0.1422
35204243,1355,260,0.1919
35202361,473,110,0.2326
35191287,5717,1245,0.2178
35180984,431,90,0.2088
35310236,1982,280,0.1413
35560184,144,30,0.2083
35380200,0,NULL,NULL
35190357,465,60,0.129
35203386,631,100,0.1585
35204852,727,175,0.2407
35210710,519,55,0.106
35370596,459,95,0.207
35211881,522,125,0.2395
35230082,492,75,0.1524
35340097,364,70,0.1923
35240004,455,85,0.1868
35240037,605,75,0.124
35380174,662,50,0.0755
35530247,1088,115,0.1057
35400117,605,95,0.157
35060199,408,45,0.1103
35060207,486,55,0.1132
35180466,554,75,0.1354
35120323,927,110,0.1187
